,Clusterer,Dimension,"Mean F/P time, s",ARI,AMI,FMI
0,SimpleKMeans,785,27.221529022004688,0.3721012428341076,0.5183141838785751,0.43891774939689665
1,SimpleKMeans,40,0.9293646450023516,0.35853146369916594,0.4924220376243029,0.4257136336443439
2,SimpleKMeans,60,1.198202804000175,0.35910690483225466,0.4928068949338498,0.4262352242339165
3,SimpleKMeans,100,2.3736576279989094,0.3593607983451883,0.49289494946752094,0.4264923524259291
4,SimpleKMeans,400,10.564088842998899,0.359319964813612,0.4929072030298666,0.42647021264614765
0,SimpleKMeans,785,21.762382943001285,0.3721012428341076,0.5183141838785751,0.43891774939689665
1,SimpleKMeans,40,1.0601083660003496,0.35853146369916594,0.4924220376243029,0.4257136336443439
2,SimpleKMeans,60,1.3508761129996856,0.35910690483225466,0.4928068949338498,0.4262352242339165
3,SimpleKMeans,100,2.255889219006349,0.3593607983451883,0.49289494946752094,0.4264923524259291
4,SimpleKMeans,400,9.088803928003472,0.359319964813612,0.4929072030298666,0.42647021264614765
0,KMeans,785,0.8328055029996904,0.34256596502877057,0.5012002207210654,0.4130117288554663
1,KMeans,40,0.2169167610045406,0.3409749810136483,0.5001093725970053,0.4115379581483598
2,KMeans,60,0.19579931799671613,0.33307097917461315,0.4865185167863707,0.40339291764319446
3,KMeans,100,0.17277677699894411,0.36599375517303184,0.5056322229808491,0.4341327596164322
4,KMeans,400,0.45243362299515866,0.3751961421029572,0.5215733627911655,0.4433315512913046
0,SimpleKMeans,785,21.694680412001617,0.3721012428341076,0.5183141838785751,0.43891774939689665
1,SimpleKMeans,40,0.7377922729938291,0.35853146369916594,0.4924220376243029,0.4257136336443439
2,SimpleKMeans,60,1.2711960390006425,0.35910690483225466,0.4928068949338498,0.4262352242339165
3,SimpleKMeans,100,2.2834734880016185,0.3593607983451883,0.49289494946752094,0.4264923524259291
4,SimpleKMeans,400,9.50146001700341,0.359319964813612,0.4929072030298666,0.42647021264614765
0,KMeans,785,1.0098242469975958,0.34256596502877057,0.5012002207210654,0.4130117288554663
1,KMeans,40,0.16283788200234994,0.3409749810136483,0.5001093725970053,0.4115379581483598
2,KMeans,60,0.18492348399740877,0.33307097917461315,0.4865185167863707,0.40339291764319446
3,KMeans,100,0.20846050900581758,0.36599375517303184,0.5056322229808491,0.4341327596164322
4,KMeans,400,0.3780167020013323,0.3751961421029572,0.5215733627911655,0.4433315512913046
0,DBSCAN,785,6.372601557333837,0.050951223618502774,0.1196047178103703,0.31608541725157124
1,DBSCAN,40,0.103234715332898,0.07246819706277516,0.14945039186561243,0.31608541725157124
2,DBSCAN,60,0.13206943366579557,0.06928850268818443,0.2611917012782799,0.31608541725157124
3,DBSCAN,100,0.18372116866521537,0.07433325847426418,0.28993699329980344,0.31608541725157124
4,DBSCAN,400,0.5948370876673531,0.04690652352724039,0.14080960382086505,0.31608541725157124
0,SimpleKMeans,785,21.648584537004353,0.3721012428341076,0.5183141838785751,0.43891774939689665
1,SimpleKMeans,40,1.0334715450007934,0.35853146369916594,0.4924220376243029,0.4257136336443439
2,SimpleKMeans,60,1.3348917639959836,0.35910690483225466,0.4928068949338498,0.4262352242339165
3,SimpleKMeans,100,2.2764961080029025,0.3593607983451883,0.49289494946752094,0.4264923524259291
4,SimpleKMeans,400,9.61504979700112,0.359319964813612,0.4929072030298666,0.42647021264614765
0,KMeans,785,0.8464275309961522,0.34256596502877057,0.5012002207210654,0.4130117288554663
1,KMeans,40,0.21387151700037066,0.3409749810136483,0.5001093725970053,0.4115379581483598
2,KMeans,60,0.17446130900498247,0.33307097917461315,0.4865185167863707,0.40339291764319446
3,KMeans,100,0.21191670400003204,0.36599375517303184,0.5056322229808491,0.4341327596164322
4,KMeans,400,0.5149088219986879,0.3751961421029572,0.5215733627911655,0.4433315512913046
0,SimpleKMeans,785,31.184610698001052,0.3721012428341076,0.5183141838785751,0.43891774939689665
1,SimpleKMeans,40,1.0892920969999977,0.35853146369916594,0.4924220376243029,0.4257136336443439
2,SimpleKMeans,60,1.186945822002599,0.35910690483225466,0.4928068949338498,0.4262352242339165
3,SimpleKMeans,100,2.314072622997628,0.3593607983451883,0.49289494946752094,0.4264923524259291
4,SimpleKMeans,500,11.136855359996844,0.3593834287098087,0.4929431144968216,0.42652077024966184
0,KMeans,785,1.2271512810038985,0.34256596502877057,0.5012002207210654,0.4130117288554663
1,KMeans,40,0.22327469599986216,0.3409749810136483,0.5001093725970053,0.4115379581483598
2,KMeans,60,0.16442523799923947,0.33307097917461315,0.4865185167863707,0.40339291764319446
3,KMeans,100,0.2540884249974624,0.36599375517303184,0.5056322229808491,0.4341327596164322
4,KMeans,500,0.5876747090005665,0.35821676222145377,0.5313842701394731,0.42931840950541916
